DayOfWeek,drug_usage,PatientCount,isHoliday,Date,emergency_cases
5,5263,555,0,2000-01-01,14
5,6064,625,0,2000-01-02,50
5,8314,821,0,2000-01-03,51
5,13995,1498,0,2000-01-04,22
5,4822,559,0,2000-01-05,11
5,5651,589,0,2000-01-06,48
5,15344,1414,0,2000-01-07,26
5,8492,833,0,2000-01-08,42
5,8565,687,0,2000-01-09,14
5,7185,681,0,2000-01-10,42
5,10457,1236,0,2000-01-11,27
5,8959,962,0,2000-01-12,9
5,8821,568,0,2000-01-13,45
5,6544,710,0,2000-01-14,41
5,9191,766,0,2000-01-15,45
5,10231,979,0,2000-01-16,49
5,8430,946,0,2000-01-17,58
5,10071,936,0,2000-01-18,18
5,8234,718,0,2000-01-19,21
5,9593,974,0,2000-01-20,27
5,9515,682,0,2000-01-21,55
5,6566,633,0,2000-01-22,12
5,7273,560,0,2000-01-23,12
5,14190,1082,0,2000-01-24,49
5,14180,1586,0,2000-01-25,56
5,7818,611,0,2000-01-26,35
5,13213,1263,0,2000-01-27,21
5,7301,663,0,2000-01-28,10
5,9411,737,0,2000-01-29,43
5,4776,625,0,2000-01-30,19
5,7248,645,0,2000-01-31,50
5,6395,635,0,2000-02-01,20
5,10789,915,0,2000-02-02,19
5,11144,1162,0,2000-02-03,46
5,12412,777,0,2000-02-04,39
5,12422,1251,0,2000-02-05,26
5,9091,888,0,2000-02-06,32
5,7434,608,0,2000-02-07,31
5,8336,929,0,2000-02-08,55
5,5464,678,0,2000-02-09,44
5,6938,494,0,2000-02-10,35
5,11946,1235,0,2000-02-11,36
5,8096,683,0,2000-02-12,13
5,6670,665,0,2000-02-13,21
5,6301,442,0,2000-02-14,38
5,7628,775,0,2000-02-15,19
5,9379,1021,0,2000-02-16,41
5,3874,390,0,2000-02-17,33
5,10310,666,0,2000-02-18,45
5,5729,441,0,2000-02-19,29
5,9198,610,0,2000-02-20,45
5,8031,527,0,2000-02-21,38
5,7540,690,0,2000-02-22,58
5,10732,889,0,2000-02-23,5
5,6096,673,0,2000-02-24,50
5,10022,619,0,2000-02-25,54
5,11594,1025,0,2000-02-26,7
5,8581,603,0,2000-02-27,45
5,7148,628,0,2000-02-28,52
5,9762,776,0,2000-02-29,59
5,5572,665,0,2000-03-01,20
5,7495,772,0,2000-03-02,45
5,11525,846,0,2000-03-03,14
5,13251,935,0,2000-03-04,17
5,7156,561,0,2000-03-05,43
5,8306,636,0,2000-03-06,25
5,11035,912,0,2000-03-07,49
5,11187,1341,0,2000-03-08,36
5,11204,1371,0,2000-03-09,48
5,8613,741,0,2000-03-10,15
5,11545,869,0,2000-03-11,40
5,5251,520,0,2000-03-12,55
5,6026,537,0,2000-03-13,28
5,7518,929,0,2000-03-14,8
5,7444,807,0,2000-03-15,42
5,12887,1228,0,2000-03-16,8
5,10335,780,0,2000-03-17,45
5,5712,610,0,2000-03-18,20
5,7150,643,0,2000-03-19,38
5,9810,675,0,2000-03-20,48
5,9279,640,0,2000-03-21,15
5,11492,1035,0,2000-03-22,6
5,3866,327,0,2000-03-23,27
5,14949,1439,0,2000-03-24,52
5,7791,971,0,2000-03-25,24
5,5572,678,0,2000-03-26,36
5,6379,715,0,2000-03-27,40
5,7863,776,0,2000-03-28,44
5,7295,716,0,2000-03-29,21
5,11495,1295,0,2000-03-30,12
5,6164,554,0,2000-03-31,59
5,8227,701,0,2000-04-01,58
5,6548,715,0,2000-04-02,41
5,8372,694,0,2000-04-03,12
5,8445,920,0,2000-04-04,5
5,6370,612,0,2000-04-05,36
5,8380,802,0,2000-04-06,19
5,7012,512,0,2000-04-07,39
5,6571,507,0,2000-04-08,52
5,10280,764,0,2000-04-09,50
5,11075,915,0,2000-04-10,55
5,12602,1414,0,2000-04-11,37
5,5425,453,0,2000-04-12,54
5,10483,1223,0,2000-04-13,41
5,6456,595,0,2000-04-14,49
5,10845,958,0,2000-04-15,43
5,9194,1021,0,2000-04-16,52
5,14927,992,0,2000-04-17,59
5,9013,864,0,2000-04-18,57
5,6058,745,0,2000-04-19,31
5,8897,698,0,2000-04-20,59
5,7834,817,0,2000-04-21,29
5,8453,735,0,2000-04-22,10
5,5750,620,0,2000-04-23,6
5,9716,674,0,2000-04-24,7
5,8083,770,0,2000-04-25,30
5,4487,507,0,2000-04-26,48
5,10779,797,0,2000-04-27,38
5,7038,684,0,2000-04-28,45
5,10392,794,0,2000-04-29,59
5,4565,549,0,2000-04-30,16
5,12336,1327,0,2000-05-01,10
5,10750,1108,0,2000-05-02,42
5,7464,780,0,2000-05-03,35
5,18227,2041,0,2000-05-04,45
5,8742,734,0,2000-05-05,27
5,8560,848,0,2000-05-06,22
5,9581,694,0,2000-05-07,53
5,10241,1286,0,2000-05-08,44
5,5404,545,0,2000-05-09,37
5,5291,524,0,2000-05-10,53
5,10387,743,0,2000-05-11,11
5,8519,876,0,2000-05-12,50
5,4872,501,0,2000-05-13,35
5,7475,619,0,2000-05-14,45
5,9568,619,0,2000-05-15,35
5,9047,1121,0,2000-05-16,47
5,10130,866,0,2000-05-17,33
5,7972,564,0,2000-05-18,17
5,9828,1085,0,2000-05-19,41
5,8689,813,0,2000-05-20,19
5,5283,614,0,2000-05-21,38
5,8382,720,0,2000-05-22,39
5,8568,817,0,2000-05-23,51
5,10893,1343,0,2000-05-24,11
5,10130,784,0,2000-05-25,6
5,11338,1007,0,2000-05-26,13
5,9996,848,0,2000-05-27,37
5,7144,615,0,2000-05-28,57
5,10826,975,0,2000-05-29,15
5,10607,853,0,2000-05-30,20
5,6901,694,0,2000-05-31,58
5,8392,638,0,2000-06-01,55
5,10751,792,0,2000-06-02,37
5,8658,765,0,2000-06-03,6
5,8828,821,0,2000-06-04,41
5,10975,1060,0,2000-06-05,59
5,11335,636,0,2000-06-06,8
5,9758,812,0,2000-06-07,41
5,7839,670,0,2000-06-08,45
5,9373,924,0,2000-06-09,37
5,10735,658,0,2000-06-10,30
5,7118,823,0,2000-06-11,54
5,9240,792,0,2000-06-12,19
5,5009,501,0,2000-06-13,41
5,6588,898,0,2000-06-14,10
5,13355,1352,0,2000-06-15,41
5,11285,957,0,2000-06-16,28
5,7551,657,0,2000-06-17,34
5,5915,589,0,2000-06-18,20
5,8733,848,0,2000-06-19,57
5,7780,891,0,2000-06-20,7
5,11034,1145,0,2000-06-21,33
5,6546,544,0,2000-06-22,12
5,7893,754,0,2000-06-23,32
5,7157,734,0,2000-06-24,46
5,5012,525,0,2000-06-25,22
5,12816,1070,0,2000-06-26,55
5,10635,1183,0,2000-06-27,36
5,9708,910,0,2000-06-28,8
5,8398,801,0,2000-06-29,31
5,6755,491,0,2000-06-30,21
5,5588,714,0,2000-07-01,20
5,8190,652,0,2000-07-02,46
5,7958,602,0,2000-07-03,16
5,4957,447,0,2000-07-04,44
5,8074,907,0,2000-07-05,44
5,9660,746,0,2000-07-06,14
5,11094,940,0,2000-07-07,13
5,9772,821,0,2000-07-08,33
5,8592,801,0,2000-07-09,41
5,16191,1027,0,2000-07-10,33
5,5904,813,0,2000-07-11,53
5,6708,518,0,2000-07-12,48
5,13443,1403,0,2000-07-13,30
5,6784,780,0,2000-07-14,13
5,10136,1054,0,2000-07-15,15
5,3824,473,0,2000-07-16,31
5,10260,756,0,2000-07-17,17
5,11177,1122,0,2000-07-18,35
5,6625,544,0,2000-07-19,21
5,7940,627,0,2000-07-20,19
5,8132,960,0,2000-07-21,30
5,7189,655,0,2000-07-22,6
5,8665,969,0,2000-07-23,13
5,10354,1004,0,2000-07-24,39
5,13957,1436,0,2000-07-25,56
5,3994,508,0,2000-07-26,39
5,8912,830,0,2000-07-27,54
5,4275,409,0,2000-07-28,45
5,17286,1659,0,2000-07-29,35
5,6049,471,0,2000-07-30,31
5,10485,754,0,2000-07-31,21
5,11117,805,0,2000-08-01,33
5,9660,705,0,2000-08-02,23
5,10252,1077,0,2000-08-03,34
5,6940,759,0,2000-08-04,28
5,5685,768,0,2000-08-05,47
5,3511,433,0,2000-08-06,11
5,5324,687,0,2000-08-07,31
5,7750,651,0,2000-08-08,58
5,6468,627,0,2000-08-09,50
5,10141,898,0,2000-08-10,20
5,9423,594,0,2000-08-11,33
5,7849,682,0,2000-08-12,15
5,8052,730,0,2000-08-13,15
5,7186,595,0,2000-08-14,9
5,10369,689,0,2000-08-15,31
5,13016,937,0,2000-08-16,38
5,10988,1091,0,2000-08-17,28
5,8353,614,0,2000-08-18,32
5,5738,469,0,2000-08-19,43
5,12157,1148,0,2000-08-20,52
5,13943,1088,0,2000-08-21,37
5,6756,548,0,2000-08-22,16
5,10336,1086,0,2000-08-23,35
5,4879,564,0,2000-08-24,53
5,11530,1372,0,2000-08-25,7
5,6757,523,0,2000-08-26,20
5,5195,474,0,2000-08-27,33
5,8650,763,0,2000-08-28,28
5,5056,451,0,2000-08-29,26
5,11404,1249,0,2000-08-30,15
5,6461,635,0,2000-08-31,52
5,10778,1139,0,2000-09-01,47
5,10031,1131,0,2000-09-02,30
5,11660,839,0,2000-09-03,51
5,11444,1228,0,2000-09-04,49
5,7053,630,0,2000-09-05,16
5,13232,887,0,2000-09-06,26
5,22205,2508,0,2000-09-07,24
5,13647,954,0,2000-09-08,22
5,8801,906,0,2000-09-09,8
5,4239,315,0,2000-09-10,59
5,8711,739,0,2000-09-11,15
5,11536,1185,0,2000-09-12,12
5,6874,749,0,2000-09-13,30
5,6763,601,0,2000-09-14,42
5,14096,2628,0,2000-09-15,16
5,6849,835,0,2000-09-16,44
5,13470,989,0,2000-09-17,34
5,25774,3669,0,2000-09-18,19
5,5216,440,0,2000-09-19,9
5,8303,992,0,2000-09-20,44
5,7502,655,0,2000-09-21,40
5,4779,495,0,2000-09-22,48
5,11326,1217,0,2000-09-23,25
5,7492,740,0,2000-09-24,18
5,12197,1304,0,2000-09-25,46
5,11643,1338,0,2000-09-26,33
5,10104,934,0,2000-09-27,47
5,9109,774,0,2000-09-28,42
5,9189,792,0,2000-09-29,9
5,6975,1374,0,2000-09-30,40
5,8573,774,0,2000-10-01,36
5,5272,575,0,2000-10-02,27
5,9262,724,0,2000-10-03,52
5,9966,929,0,2000-10-04,37
5,12709,814,0,2000-10-05,8
5,8189,579,0,2000-10-06,15
5,8053,633,0,2000-10-07,48
5,4761,608,0,2000-10-08,8
5,9829,839,0,2000-10-09,37
5,6788,520,0,2000-10-10,27
5,7052,540,0,2000-10-11,31
5,5093,438,0,2000-10-12,25
5,9283,865,0,2000-10-13,8
5,6886,480,0,2000-10-14,9
5,7522,616,0,2000-10-15,55
5,8386,719,0,2000-10-16,10
5,10052,973,0,2000-10-17,29
5,0,0,0,2000-10-18,21
5,7494,878,0,2000-10-19,17
5,7628,889,0,2000-10-20,55
5,7687,834,0,2000-10-21,19
5,8579,801,0,2000-10-22,20
5,8481,802,0,2000-10-23,31
5,10344,803,0,2000-10-24,30
5,9839,1015,0,2000-10-25,6
5,10784,1082,0,2000-10-26,36
5,6665,629,0,2000-10-27,12
5,5356,393,0,2000-10-28,15
5,9026,849,0,2000-10-29,34
5,10539,1183,0,2000-10-30,29
5,7529,599,0,2000-10-31,54
5,6218,593,0,2000-11-01,21
5,3419,377,0,2000-11-02,9
5,11053,1026,0,2000-11-03,42
5,8688,707,0,2000-11-04,42
5,12219,926,0,2000-11-05,12
5,8602,826,0,2000-11-06,8
5,6678,651,0,2000-11-07,40
5,10432,926,0,2000-11-08,25
5,6661,700,0,2000-11-09,38
5,5959,553,0,2000-11-10,16
5,11678,927,0,2000-11-11,14
5,7374,683,0,2000-11-12,7
5,8026,746,0,2000-11-13,17
5,11280,1079,0,2000-11-14,41
5,19898,2316,0,2000-11-15,53
5,7520,688,0,2000-11-16,49
5,6826,621,0,2000-11-17,38
5,10371,716,0,2000-11-18,24
5,7753,855,0,2000-11-19,10
5,8509,742,0,2000-11-20,51
5,8094,544,0,2000-11-21,51
5,11035,1150,0,2000-11-22,33
5,5662,577,0,2000-11-23,58
5,9168,743,0,2000-11-24,14
5,5509,489,0,2000-11-25,34
5,7537,814,0,2000-11-26,32
5,4432,520,0,2000-11-27,36
5,13459,1399,0,2000-11-28,23
5,6583,599,0,2000-11-29,39
5,17867,2592,0,2000-11-30,44
5,16459,2049,0,2000-12-01,31
5,7345,493,0,2000-12-02,25
5,8566,657,0,2000-12-03,29
5,7080,840,0,2000-12-04,46
5,8192,802,0,2000-12-05,35
5,6994,851,0,2000-12-06,41
5,14485,987,0,2000-12-07,15
5,9742,802,0,2000-12-08,9
5,12767,1434,0,2000-12-09,36
5,4989,505,0,2000-12-10,57
5,8934,734,0,2000-12-11,33
5,7512,504,0,2000-12-12,52
5,10047,831,0,2000-12-13,18
5,9281,873,0,2000-12-14,52
5,8418,614,0,2000-12-15,42
5,8603,652,0,2000-12-16,5
5,8204,716,0,2000-12-17,57
5,7851,1851,0,2000-12-18,34
5,10053,791,0,2000-12-19,42
5,12766,1304,0,2000-12-20,28
5,9347,602,0,2000-12-21,52
5,10131,1218,0,2000-12-22,8
5,12667,1215,0,2000-12-23,13
5,8544,653,0,2000-12-24,45
5,9135,881,0,2000-12-25,37
5,9806,812,0,2000-12-26,54
5,11686,1257,0,2000-12-27,11
5,9564,1061,0,2000-12-28,53
5,7160,758,0,2000-12-29,53
5,8742,754,0,2000-12-30,14
5,9155,772,0,2000-12-31,23
5,7514,646,0,2001-01-01,34
5,16556,1025,0,2001-01-02,11
5,8495,646,0,2001-01-03,41
5,9747,714,0,2001-01-04,11
5,8360,592,0,2001-01-05,40
5,11470,874,0,2001-01-06,13
5,6621,405,0,2001-01-07,32
5,9062,938,0,2001-01-08,59
5,13241,1038,0,2001-01-09,42
5,11300,1083,0,2001-01-10,29
5,14940,1400,0,2001-01-11,41
5,8828,1267,0,2001-01-12,36
5,5550,574,0,2001-01-13,7
5,17133,1498,0,2001-01-14,44
5,10760,977,0,2001-01-15,26
5,10802,818,0,2001-01-16,33
5,22129,2297,0,2001-01-17,51
5,12065,1197,0,2001-01-18,47
5,8807,740,0,2001-01-19,32
5,10007,713,0,2001-01-20,14
5,14533,1402,0,2001-01-21,16
5,11506,1178,0,2001-01-22,25
5,13404,1383,0,2001-01-23,14
5,16172,1219,0,2001-01-24,37
5,8431,925,0,2001-01-25,43
5,7261,748,0,2001-01-26,25
5,8124,725,0,2001-01-27,28
5,10549,760,0,2001-01-28,11
5,4966,587,0,2001-01-29,38
5,13780,1227,0,2001-01-30,48
5,8130,955,0,2001-01-31,32
5,8246,787,0,2001-02-01,52
5,6917,668,0,2001-02-02,45
5,11084,1369,0,2001-02-03,54
5,8951,733,0,2001-02-04,57
5,6904,668,0,2001-02-05,31
5,8698,812,0,2001-02-06,52
5,6690,669,0,2001-02-07,19
5,5569,530,0,2001-02-08,54
5,10916,710,0,2001-02-09,38
5,6393,446,0,2001-02-10,19
